sex,avebooks,readprint,readaudio,readebook
Male,21,4,2,3
Female,18,4,1,2
Male,3,1,0,0
Female,15,1,0,0
Male,45,1,1,0
Female,97,1,0,1
Male,50,1,0,1
Female,5,1,0,0
Male,25,1,0,0
Female,13,4,1,0
Female,4,2,1,1
Male,30,1,0,0
Female,10,1,0,1
Female,69,3,2,2
Male,12,1,0,0
Female,38,3,0,1
Male,12,1,0,1
Female,55,3,2,2
Male,24,9,4,3
Female,6,1,0,0
Female,4,1,0,0
Female,37,1,1,1
Male,2,1,0,0
Female,15,1,0,0
Female,97,1,0,0
Female,38,2,0,0
Male,8,2,0,1
Female,40,3,0,0
Male,3,1,1,1
Female,28,3,0,0
Male,7,3,1,1
Female,28,6,1,2
Male,6,2,0,1
Female,35,5,0,1
Male,7,2,0,0
Female,34,4,1,3
Male,1,1,0,0
Female,28,5,0,3
Male,24,3,1,0
Female,22,3,1,0
Male,48,1,0,0
Female,15,2,1,1
Male,1,1,0,0
Female,3,1,0,1
Female,50,2,1,1
Female,25,1,1,0
Male,6,1,0,1
Male,24,1,1,0
Female,11,2,1,1
Male,5,1,1,1
Female,1,1,0,0
Female,15,4,1,0
Male,4,1,0,0
Female,12,3,1,0
Male,2,1,0,0
Female,38,5,0,2
Male,35,2,1,1
Female,36,1,0,0
Male,2,1,1,1
Female,75,1,0,0
Male,18,3,0,0
Female,15,2,0,0
Female,6,1,0,0
Female,2,1,0,0
Female,48,1,0,0
Male,2,1,0,0
Male,4,2,0,0
Female,2,1,0,0
Female,4,1,0,0
Female,97,2,0,0
Male,6,1,0,1
Female,32,2,0,0
Male,54,2,0,0
Female,15,3,1,2
Male,24,1,0,1
Female,34,7,4,3
Male,21,2,1,2
Female,44,3,1,3
Male,34,6,1,2
Female,26,5,1,3
Male,47,8,4,5
Female,50,3,0,0
Male,21,4,0,1
Female,20,1,1,1
Male,12,1,1,0
Female,18,4,0,1
Female,24,1,1,1
Male,1,1,0,1
Female,20,2,1,1
Male,33,2,0,3
Female,20,1,1,0
Male,21,2,0,0
Female,3,0,0,0
Female,20,1,0,0
Male,4,1,0,0
Female,54,2,0,1
Male,32,2,0,1
Female,7,4,2,1
Male,11,2,0,1
Female,21,7,4,5
Male,19,10,2,10
Female,19,5,2,2
Male,41,3,1,3
Female,18,1,0,0
Female,10,1,0,1
Female,3,1,0,0
Female,2,1,0,0
Male,1,1,0,0
Male,50,1,0,0
Male,2,0,0,0
Female,50,0,0,0
Female,1,1,0,0
Male,3,1,0,0
Female,3,0,0,0
Male,2,1,0,0
Female,1,1,0,1
Male,3,0,0,0
Female,3,1,0,0
Female,1,1,0,0
Female,5,1,0,0
Female,1,1,0,0
Male,24,1,0,0
Female,97,1,0,0
Male,5,0,0,1
Male,7,2,0,0
Male,5,1,1,0
Female,10,1,1,1
Female,7,1,0,0
Male,97,1,0,0
Female,12,1,0,0
Female,30,1,1,1
Female,50,1,1,1
Male,20,1,1,0
Male,12,1,0,0
Female,2,1,0,0
Male,12,1,0,1
Male,1,0,0,0
Female,4,1,1,1
Male,15,1,0,0
Female,5,1,0,0
Female,1,1,0,0
Female,1,1,0,0
Male,1,1,0,0
Female,9,1,0,0
Male,97,1,0,1
Male,50,1,0,0
Male,1,1,0,0
Male,10,1,0,0
Male,6,1,0,0
Male,40,1,0,1
Female,15,1,0,0
Female,7,1,0,0
Female,2,1,0,0
Male,15,1,1,0
Female,96,1,0,0
Male,4,1,0,0
Male,3,1,0,0
Male,9,2,0,0
Female,4,1,0,0
Male,3,1,0,0
Female,7,0,0,1
Female,15,1,0,0
Male,6,1,0,0
Female,4,1,0,0
Male,12,1,0,0
Female,10,0,0,0
Male,15,1,0,0
Female,5,1,0,0
Male,40,1,0,0
Female,4,1,0,0
Female,1,2,0,0
Male,1,1,0,0
Female,3,1,0,1
Female,16,1,0,0
Female,0,1,0,0
Female,5,5,1,1
Male,11,5,1,0
Female,5,6,0,0
Female,13,4,1,0
Male,1,1,0,0
Female,21,4,0,2
Male,3,1,1,0
Female,6,1,0,0
Male,18,2,0,1
Female,13,5,0,0
Male,6,1,0,1
Female,8,10,0,1
Male,29,2,0,0
Female,15,1,0,0
Male,12,1,0,0
Male,12,1,0,1
Female,6,1,0,0
Female,50,1,0,0
Female,10,1,0,0
Female,60,2,0,0
Female,1,1,0,0
Female,4,0,0,0
Female,97,1,0,1
Female,97,1,0,0
Female,37,2,1,0
Male,15,1,0,0
Female,16,3,2,0
Male,8,2,1,0
Female,20,2,1,2
Female,7,4,1,2
Male,63,2,0,1
Female,1,1,0,0
Male,30,1,0,1
Female,19,3,0,0
Male,41,3,1,1
Female,19,5,1,3
Male,7,6,0,1
Female,2,1,0,0
Female,75,1,0,0
Male,24,1,0,0
Male,1,1,0,0
Female,36,1,0,0
Female,20,1,0,1
Female,97,1,0,1
Female,75,1,1,0
Female,3,1,0,0
Female,40,3,0,0
Male,5,1,0,0
Female,17,5,1,0
Female,61,3,1,0
Female,12,0,1,1
Male,5,1,0,0
Female,43,2,0,0
Male,2,3,0,0
Female,97,1,0,0
Male,4,1,0,0
Female,32,2,0,0
Male,3,1,1,0
Female,7,5,1,1
Male,12,1,0,0
Male,15,1,1,1
Female,26,2,0,1
Male,18,1,1,1
Male,4,1,0,0
Female,12,0,1,0
